interests_from,Argentina,Australia,Brazil,Chile,France,Great Britain,Indonesia,Japan,Malaysia,Mexico,Russia,Singapore,South Korea,Spain,Turkey,United States
Argentina,1,0.318566522267763,0.10779643147495,0.466729984409346,-0.410867663357671,-0.20727952754713,-0.677962090228159,-0.815935830168993,-0.263882650037565,0.344139098799377,-0.6945572278413,0.145924051984777,-0.524285575321715,0.035432464955443,-0.724250234312797,-0.030645762068709
Australia,-0.255347503615535,1,-0.50815463470922,-0.408967932826155,-0.231630611118122,0.279978200203838,-0.747322725034824,-0.501120523362381,0.19018416855404,-0.568517894631843,-0.631860794000827,0.36916846393301,-0.434272653475091,-0.322293378724179,-0.851730279022305,0.629217600784902
Brazil,0.217245630437063,0.202120237222094,1,0.117009770410971,-0.523958418566909,-0.041634740670164,-0.493767657849167,-0.648150568220493,0.153331291826757,-0.131073796070189,-0.667597693967101,0.01357986766034,-0.321865454401403,-0.074772315110545,-0.714662988803452,-0.078814485847885
Chile,0.409019423067681,0.099223524742849,0.027487920795484,1,-0.576472350534197,-0.269874740992143,-0.589763656733292,-0.512626919780298,0.003409874601102,0.514435835163964,-0.681028286613064,0.090222972395038,-0.491062083302891,0.066056603854555,-0.769620776576832,0.118722339856156
France,-0.219271290169847,0.346577605753629,-0.57322684160485,-0.29819772627833,1,0.118826072173764,-0.493731781412425,-0.439504817295713,0.133435078333492,-0.118451350388847,-0.622885734158363,0.12928434654202,-0.396102401440571,0.049920844285318,-0.307114220008413,0.30176935289862
Great Britain,-0.366881491109128,0.59776337892136,-0.484573517632585,-0.371740701727225,-0.325941296215328,1,-0.67189988907656,-0.546641467025176,0.135016686047492,-0.579594183191924,-0.629020549737326,0.357294426546061,-0.350316456104455,-0.192754484847951,-0.758728543461192,0.507603654203851
Indonesia,-0.31759938548837,0.340406762247939,-0.33044109760855,-0.327291543338996,-0.472112608928067,-0.135466073134519,1,-0.444311412944205,0.537021386347193,-0.308936963479949,-0.531328830197448,0.187353673226301,-0.188713272422294,-0.48405834127386,-0.482020910944911,0.100554286774359
Japan,-0.51795719766755,0.279089485421121,-0.25269602375121,-0.297352021432926,-0.423018786205681,-0.180317791834566,-0.29390932285148,1,0.360119422343655,-0.23888360517436,-0.50528981214789,0.555772353399405,0.134618986437044,-0.413592629288746,-0.328613690772019,-0.01803185388485
Malaysia,-0.828871973880408,0.408904609333549,-0.760682107225774,-0.619157075798224,-0.62763046717066,-0.684270421710539,-0.262423368028811,-0.88148255171731,1,-0.721837574958167,-0.765957324637992,0.715415041827697,-0.337267380086103,-0.861775033557731,-0.855059900778265,0.026759355669192
Mexico,0.309985593453363,0.035374485710941,-0.531872657465273,0.346919860297397,-0.433120274134963,-0.506904329155506,-0.760321467211341,-0.83185442306489,-0.113625269334509,1,-0.811254097687212,-0.07239647758663,-0.328794129256542,-0.143726816687121,-0.670765285470829,0.410072847220074
Russia,-0.156492247013108,-0.163263409085053,-0.021060437439828,-0.053243676609709,-0.084946389074131,-0.088950493649651,0.392578244456405,-0.056296556395298,-0.18780478081996,0.333042420493877,1,-0.131188791682554,-0.10883638619989,-0.163782368678526,0.110268120951542,-0.25919491675812
Singapore,-0.652881089034862,0.316562980784365,-0.701759430364525,-0.479294313706015,-0.631790519866556,-0.201762802924958,-0.609050149195243,-0.1759719127492,0.615750206999574,-0.619138859932141,-0.657531039659181,1,-0.100779912777233,-0.734015644257522,-0.861581015533151,-0.055645028403453
South Korea,-0.498278934989223,0.148113496190783,-0.617619105426521,-0.618047427028961,-0.740704237908787,-0.173424425236334,-0.571510332593701,-0.30101421151132,0.537413622831757,-0.046162853427907,-0.779362149312079,0.412515199846676,1,-0.514568864024219,-0.606508690804728,0.111659702124761
Spain,0.169608812283336,0.121729640684894,-0.16159524459334,0.142874825874376,0.260808865870395,0.067689939949199,-0.538133390464623,-0.566006418318602,-0.09233087738559,-0.004305724316634,-0.631202120690406,-0.052501315931484,-0.42155547492529,1,-0.490059122831885,-0.138415228687906
Turkey,-0.191948440031198,0.27052948394405,-0.538258816177536,-0.39933375224683,-0.153431976758081,-0.177172871096998,-0.414702301319316,-0.396387699544985,0.344397474184722,-0.244614986297238,-0.526088062750748,0.123145848359087,-0.308133948689727,-0.208541322477479,1,-0.252773176274281
United States,-0.284854077738873,0.640784304323387,-0.540380757879067,-0.248450911779674,-0.328099334219948,0.271570789936216,-0.65837735402006,-0.475530801401646,0.056007616960432,-0.366961066532643,-0.69859496860717,0.223247670183548,-0.5081668350578,-0.461272459561518,-0.7818713142859,1
