Country,PC1,PC2
Argentina,-6.0866892851098,7.22115011279341
Australia,13.9216258135957,13.1011471299514
Brazil,-6.7771351696979,1.51598485480213
Chile,-6.39167274479504,5.11275141949276
France,-5.87756460221957,-0.326725569675126
Great Britain,3.35204581813795,6.33108128430653
Indonesia,-4.22334803972677,-8.51678457143387
Japan,-5.89871477078669,-7.05423586006026
Malaysia,26.0078028775243,-12.0285515192701
Mexico,-5.66766502872379,7.02900996515557
Russia,-9.39891271520441,-5.71552176699504
Singapore,15.3384000458187,-3.33060249833947
South Korea,-1.02570296540817,-10.5801328350028
Spain,-7.19039260760716,2.26056545535822
Turkey,-8.33327881871601,-7.12345809991452
United States,8.25120219291858,12.1043224988313
